freq MHz,,,
,,,
151.1600,CalFire,Shasta Trinity Dispatch,
151.3700,CalFire,Red Bluff Tehama Glenn,
155.6850,Red Bluff PD,WQU455,
158.7300,?,intermittent data,
159.0900,nbfm,WPIT491,Anderson PD
161.3100,nbfm,UPRR,Union Pacific Railroad
440.0500,data? atv?,KD6MTU/R HI,
440.3250,data? atv?,N0ASA,
460.7000,morse,WPUN733,Valley Industrial Communications
461.5100,beacon,WQEQ313,Actual ID is 00WQEQ313
461.5250,data,,
462.0750,data,,
462.5625,,FRS 1,
462.5875,,FRS 2,
462.6125,,FRS 3,
462.6375,,FRS 4,
462.6625,,FRS 5,
462.6875,,FRS 6,
462.7125,nbfm,FRS 7,"""Jason"""
463.3500,data,WQEQ313/R8H,
467.5625,,FRS 8,
467.5875,,FRS 9,
467.6125,,FRS 10,
467.6375,,FRS 11,
467.6625,,FRS 12,
467.6875,,FRS 13,
467.7125,,FRS 14,
462.5500,,FRS 15,
462.5750,,FRS 16,
462.6000,,FRS 17,
462.6250,,FRS 18,WRHS923/R 
462.6500,,FRS 19,
462.6750,,FRS 20,
462.7000,,FRS 21,
462.7250,,FRS 22,
462.9750,nbfm,,Shasta County EMS 1
463.2000,nbfm,WPFE838,Mercy Medical Center Ops
463.0250,nbfm,,Shasta County EMS 2
,,,
463.0750,nbfm,,Shasta County EMS
463.1000,nbfm,MedNet5,
463.4670,data,,constant data
465.5000,data,,constant data
464.1550,beacon,,
464.1750,morse,WQEQ313/R8H,"The Radio Shop (Mckeown, James)"
464.9000,beacon,,